Incident.day	Incident.month	Incident.year	Victim.injury	State	Location	Latitude	Longitude	Shark.common.name	Shark.length.m	Provoked.unprovoked	No.sharks	Victim.activity	Injury.location	Injury.severity	Victim.gender	Victim.age	Time.of.incident
1	1	1791	fatal	NSW	near sydney	-33.86666667	151.2	white shark		unprovoked		swimming	torso	major lacerations	female		
22	3	1803	injured	WA	"hamelin bay, faure island"	-25.83333333	113.8833333	tiger shark		unprovoked	1	swimming			male		
18	1	1807	injured	NSW	"cockle bay, sydney harbour"	-33.86666667	151.2	bull shark		unprovoked	1	swimming	"arm, hand"	minor lacerations	male		
1	1	1820	fatal	TAS	"sweetwater point, pitt water"	-42.8	147.5333333			provoked	1	swimming	leg	major lacerations	male		
1	1	1825	injured	NSW	"kirribili point, sydney harbour"	-33.85	151.2166667	bull shark		unprovoked	1	swimming	leg	minor lacerations	male	15	
1	1	1830	injured	TAS	bruny island	-43.28333333	147.3333333	white shark		unprovoked	1	swimming	arm	major lacerations	female		
20	1	1832	injured	NSW	"blackwattle bay, glebe, sydney harbour"	-33.86666667	151.1833333	bull shark		provoked		swimming	leg	minor lacerations	male		
4	6	1832	injured	NSW	"south head, sydney harbour"	-33.83333333	151.2666667	white shark		provoked	1	fishing	leg	major lacerations	female		
1	1	1836	injured	SA	holdfast bay	-34.95	138.5	white shark		unprovoked		swimming			male		
1	8	1836	fatal	QLD	fraser island	-25.48333333	152.9833333	whaler shark		unprovoked	1	swimming	other: body not recovered		male		
1	8	1836	fatal	QLD	fraser island	-25.48333333	152.9833333	whaler shark		unprovoked	1	swimming	other: body not recovered		male		
17	1	1837	fatal	NSW	macleay river	-30.93333333	153.0166667	bull shark		unprovoked	1	swimming	leg	major lacerations	male	12	
7	8	1839	fatal	VIC	"sealer's cove, wilson's promontory"	-38.98333333	146.45	white shark		provoked	1	swimming	leg	major lacerations	male		
1	12	1840	fatal	NSW	"wooloomooloo bay, sydney harbour"	-33.85	151.2166667	bull shark		unprovoked	1	swimming	leg	major lacerations	male		
25	4	1841	fatal	NSW	"cockatoo island, sydney harbour"	-33.83333333	151.1666667	bull shark		unprovoked	1	swimming	thigh	major lacerations	male		
3	3	1847	injured	QLD	moreton bay	-27.25	153.25	bull shark		unprovoked		swimming	foot	major lacerations	male		
30	11	1847	injured	QLD	brisbane river	-27.43333333	153.0833333	bull shark		unprovoked	1	swimming	"thigh, calf"	major lacerations	male		
1	1	1849	fatal	WA	"quindalup, busselton"	-33.36666667	115.2833333	white shark		provoked	1	swimming			male		
9	12	1849	injured	VIC	portland	-38.33333333	141.6	white shark		unprovoked	1	swimming	leg	other: teeth marks	male		
2	12	1849	fatal	NSW	"woolloomooloo bay, sydney harbour"	-33.81666667	151.2	bull shark		unprovoked	1	swimming	thigh	major lacerations	male		
1	1	1850	fatal	QLD	moreton bay	-27.28333333	153.2166667	tiger shark		unprovoked	1	swimming	other: body not recovered		male		
10	3	1850	injured	NSW	"yamba, clarence head"	-29.41666667	153.3333333	whaler shark		unprovoked	1	swimming			male		
9	11	1853	injured	NSW	sydney harbour	-33.85	151.2166667	wobbegong	1.0	provoked	1	swimming	leg	minor lacerations	male		
1	1	1855	injured	QLD	mary river	-25.5	152.7166667	bull shark		unprovoked	1	swimming	leg	major lacerations	female		
6	1	1855	uninjured	NSW	"woolloomooloo bay, sydney harbour"	-33.85	151.2166667	bull shark		unprovoked	1	swimming	other: uninjured		male		
